,price,bedrooms,bathrooms,sqft_living,floors,waterfront,condition,sqft_above,lat,sqft_living15,price_log,age_of_house,grade_1,grade_2,grade_3,grade_4,grade_5
0,221900.0,3,1.0,1180,1.0,0.0,3,1180,47.5112,1340,12.309982108920686,59,0.0,1.0,0.0,0.0,0.0
1,538000.0,3,2.25,2570,2.0,0.0,3,2170,47.721000000000004,1690,13.195613839143922,63,0.0,1.0,0.0,0.0,0.0
2,180000.0,2,1.0,770,1.0,0.0,3,770,47.7379,2720,12.100712129872347,82,0.0,1.0,0.0,0.0,0.0
3,604000.0,4,3.0,1960,1.0,0.0,5,1050,47.5208,1360,13.311329476916953,49,0.0,1.0,0.0,0.0,0.0
4,510000.0,3,2.0,1680,1.0,0.0,3,1680,47.6168,1800,13.142166004700508,28,0.0,0.0,1.0,0.0,0.0
5,1230000.0,4,4.5,5420,1.0,0.0,3,3890,47.6561,4760,14.0225247273486,13,0.0,0.0,0.0,1.0,0.0
6,257500.0,3,2.25,1715,2.0,0.0,3,1715,47.3097,2238,12.458774999085929,19,0.0,1.0,0.0,0.0,0.0
7,291850.0,3,1.5,1060,1.0,0.0,3,1060,47.4095,1650,12.583995250631936,52,0.0,1.0,0.0,0.0,0.0
8,229500.0,3,1.0,1780,1.0,0.0,3,1050,47.5123,1780,12.343658308482738,55,0.0,1.0,0.0,0.0,0.0
9,323000.0,3,2.5,1890,2.0,0.0,3,1890,47.3684,2390,12.685407602204794,12,0.0,1.0,0.0,0.0,0.0
10,662500.0,3,2.5,3560,1.0,0.0,3,1860,47.6007,2210,13.403775836842515,50,0.0,0.0,1.0,0.0,0.0
11,468000.0,2,1.0,1160,1.0,0.0,4,860,47.69,1330,13.056223574899784,72,0.0,1.0,0.0,0.0,0.0
12,310000.0,3,1.0,1430,1.5,0.0,4,1430,47.7558,1780,12.644327576461329,87,0.0,1.0,0.0,0.0,0.0
13,400000.0,3,1.75,1370,1.0,0.0,4,1370,47.6127,1370,12.89921982609012,37,0.0,1.0,0.0,0.0,0.0
14,530000.0,5,2.0,1810,1.5,0.0,3,1810,47.67,1360,13.180632285528304,115,0.0,1.0,0.0,0.0,0.0
15,650000.0,4,3.0,2950,2.0,0.0,3,1980,47.5714,2140,13.38472764187182,36,0.0,0.0,1.0,0.0,0.0
16,395000.0,3,2.0,1890,2.0,0.0,3,1890,47.7277,1890,12.886641043883259,20,0.0,1.0,0.0,0.0,0.0
17,485000.0,4,1.0,1600,1.5,0.0,4,1600,47.6648,1610,13.091904169919621,98,0.0,1.0,0.0,0.0,0.0
18,189000.0,2,1.0,1200,1.0,0.0,4,1200,47.3089,1060,12.14950229404178,93,0.0,1.0,0.0,0.0,0.0
19,230000.0,3,1.0,1250,1.0,0.0,4,1250,47.3343,1280,12.345834587905333,46,0.0,1.0,0.0,0.0,0.0
20,385000.0,4,1.75,1620,1.0,0.0,4,860,47.7025,1400,12.86099861326992,67,0.0,1.0,0.0,0.0,0.0
21,2000000.0,3,2.75,3050,1.0,0.0,3,2330,47.5316,4110,14.508657738524219,46,0.0,0.0,1.0,0.0,0.0
22,285000.0,5,2.5,2270,2.0,0.0,3,2270,47.3266,2240,12.560244459250788,19,0.0,0.0,1.0,0.0,0.0
23,252700.0,2,1.5,1070,1.0,0.0,3,1070,47.3533,1220,12.439958293376286,29,0.0,1.0,0.0,0.0,0.0
24,329000.0,3,2.25,2450,2.0,0.0,4,2450,47.3739,2200,12.70381302974751,29,0.0,0.0,1.0,0.0,0.0
25,233000.0,3,2.0,1710,1.5,0.0,5,1710,47.3048,1030,12.358793732547838,73,0.0,1.0,0.0,0.0,0.0
26,937000.0,3,1.75,2450,2.0,0.0,3,1750,47.6386,1760,13.750438561220559,99,0.0,0.0,1.0,0.0,0.0
27,667000.0,3,1.0,1400,1.5,0.0,5,1400,47.6221,1860,13.410545324897761,105,0.0,0.0,1.0,0.0,0.0
28,438000.0,3,1.75,1520,1.0,0.0,3,790,47.695,1520,12.989974189358584,66,0.0,1.0,0.0,0.0,0.0
29,719000.0,4,2.5,2570,2.0,0.0,3,2570,47.7073,2630,13.485616636703183,10,0.0,0.0,1.0,0.0,0.0
30,580500.0,3,2.5,2320,2.0,0.0,3,2320,47.5391,2580,13.271645080120082,11,0.0,0.0,1.0,0.0,0.0
31,280000.0,2,1.5,1190,3.0,0.0,3,1190,47.7274,1390,12.542544882151386,9,0.0,1.0,0.0,0.0,0.0
32,687500.0,4,1.75,2330,1.5,0.0,4,1510,47.6823,1460,13.440817108522863,85,0.0,1.0,0.0,0.0,0.0
33,535000.0,3,1.0,1090,1.5,0.0,4,1090,47.6889,1570,13.190022025878143,85,0.0,0.0,1.0,0.0,0.0
34,322500.0,4,2.75,2060,1.0,0.0,3,1280,47.4276,2020,12.683858415217964,33,0.0,1.0,0.0,0.0,0.0
35,696000.0,3,2.5,2300,1.5,0.0,3,1510,47.6827,1590,13.453104939316557,84,0.0,0.0,1.0,0.0,0.0
36,550000.0,4,1.0,1660,1.0,0.0,1,930,47.6621,2160,13.217673557208654,81,1.0,0.0,0.0,0.0,0.0
37,640000.0,4,2.0,2360,2.0,0.0,4,2360,47.6702,1730,13.369223455335854,110,0.0,0.0,1.0,0.0,0.0
38,240000.0,4,1.0,1220,1.0,0.0,2,890,47.3341,1290,12.388394202324129,46,0.0,1.0,0.0,0.0,0.0
39,605000.0,4,2.5,2620,2.0,0.0,3,2620,47.5301,2620,13.312983737012978,18,0.0,0.0,1.0,0.0,0.0
40,625000.0,4,2.5,2570,2.0,0.0,3,2570,47.6145,2470,13.345506928718539,14,0.0,0.0,1.0,0.0,0.0
41,775000.0,4,2.25,4220,1.0,0.0,3,2600,47.445,2410,13.560618308335483,30,0.0,0.0,1.0,0.0,0.0
42,861990.0,5,2.75,3595,2.0,0.0,3,3595,47.6848,3625,13.666998948650464,0,0.0,0.0,1.0,0.0,0.0
43,685000.0,3,1.0,1570,2.0,0.0,3,1570,47.6413,1580,13.437174117244362,92,0.0,1.0,0.0,0.0,0.0
44,309000.0,3,1.0,1280,1.0,0.0,4,920,47.4485,1340,12.641096555879882,55,0.0,1.0,0.0,0.0,0.0
45,488000.0,3,2.5,3160,2.0,0.0,3,3160,47.7443,3050,13.098070684835283,11,0.0,0.0,1.0,0.0,0.0
46,210490.0,3,1.0,990,1.0,0.0,3,990,47.3066,1228,12.257193425037888,49,0.0,1.0,0.0,0.0,0.0
47,785000.0,4,2.5,2290,2.0,0.0,4,2290,47.6194,2680,13.573438996764546,33,0.0,0.0,1.0,0.0,0.0
48,450000.0,3,1.75,1250,1.0,0.0,4,1250,47.6796,970,13.017002861746503,62,0.0,1.0,0.0,0.0,0.0
49,1350000.0,3,2.5,2753,1.0,1.0,5,2165,47.4041,2680,14.115615150414612,62,0.0,0.0,1.0,0.0,0.0
